Credit Name,State,sale_year,Underlying Moodys Rating,Fiscal Year End,Cash & Short-Term Investments (GF),Deferred Rev (GF),Total Liabilities (GF),Unassigned Fund Balance (GF),Total Fund Balance (GF),General Fund Rev,General Fund Exp,Total Taxable Assessed Value,Total Assessed Value,Current Debt Service (all Gov funds),Current Portion GO Debt (Gov),Current Portion Long-Term Debt (Gov),Short-Term Debt (Gov),Long-Term Debt (Gov),"Invested in Capital Assets, net of related debt (Gov)",Total Restricted Net Assets (Gov),Unrestricted Net Assets (Gov),Total Net Assets (Gov),Operating Grants & Contributions (Gov),Total Rev (Gov),Total Exp (Gov),Revenue Over Expense (Gov),Change in Net Assets (Gov),Total Pension Liability (EOY),Total Pension Expense,Population,Total Primary Government Expenses,moodys_ratings_num,short_run_pos,liquidity,net_assets_prev_year,net_asset_growth,operating_margin,own_source_rev,debt_burden,coverage,net_invest_prev_year,cap_asset_condition
Fort Worth,TX,2004,Aa1,2019-09-30,127361,973.0,39166,128603.0,173797,686012.0,654818.0,67762925.0,75922158.0,131398.0,86070.0,90228.0,0.0,1163371.0,1641806.0,112004.0,-2830558.0,-1076748.0,76267.0,1079342.0,1303083.0,-223741.0,-16096.0,5422613.0,378535.0,892615,1789318.0,11,0.18746465076412658,3.3346686565601025,-1060652.0,0.015175571252399468,0.2072938883134354,0.07066064324375407,1.3033289828201409,0.10083624757594106,1451492.0,1.1311161205159932
Fort Worth,TX,2004,Aa1,2017-09-30,87923,311.0,32076,93601.0,135449,596168.0,590546.0,54517129.0,59691617.0,116057.0,60705.0,64922.0,0.0,1173521.0,1392113.0,86980.0,-1995603.0,-516510.0,54497.0,948046.0,1301104.0,-353058.0,-195613.0,5318307.0,409285.0,855947,1788716.0,11,0.1570044014438883,2.7679206674012278,-1076748.0,0.18167017723738516,0.37240598030053396,0.05748349763619065,1.3710206356234673,0.08919886496390757,1641806.0,0.8479156489865428
Fort Worth,TX,2004,Aa1,2015-09-30,55731,223.0,29777,84280.0,124561,542710.0,549049.0,47075950.0,55466429.0,102060.0,61840.0,66157.0,0.0,883733.0,1228012.0,52358.0,-1552115.0,-271745.0,37810.0,866697.0,1058828.0,-192131.0,-42312.0,3610674.0,232273.0,815021,1501521.0,11,0.1552947246227267,1.8857345875346823,-516510.0,0.08191903351338793,0.2216818565196372,0.0436253961880565,1.0843070301256041,0.09638959302171836,1392113.0,0.8821209197816556
Longview,TX,2004,A1,2017-09-30,15631,0.0,5654,15949.0,17550,57138.0,58223.0,5721148.0,5852792.0,9189.0,5017.0,5361.0,0.0,69317.0,65414.0,9183.0,-50212.0,24385.0,9540.0,84009.0,91107.0,-7098.0,-4958.0,267248.0,9597.0,81436,128684.0,8,0.2791312261542231,2.764591439688716,8989.0,-0.5515630214706864,0.08449094739849301,0.1135592615076956,0.8511837516577435,0.1008594290230169,78206.0,0.8364319873155512
Longview,TX,2004,A1,2019-09-30,15591,0.0,4952,14978.0,19932,62003.0,59246.0,5872703.0,6006710.0,8375.0,6108.0,6578.0,0.0,107807.0,70582.0,9138.0,-70040.0,9680.0,9366.0,90532.0,98576.0,-8044.0,-3277.0,318780.0,14783.0,81252,137416.0,8,0.2415689563408222,3.1484248788368334,24385.0,-0.1343858929669879,0.08885256042062475,0.10345513188706755,1.326822724363708,0.08495982795000812,65414.0,1.079004494450729
Longview,TX,2004,A1,2015-09-30,15562,0.0,5177,13857.0,17614,57350.0,57588.0,5612870.0,5735537.0,7817.0,2752.0,2882.0,0.0,73809.0,56971.0,15943.0,-43260.0,29654.0,11665.0,88636.0,83517.0,5119.0,4875.0,260963.0,3640.0,81274,120853.0,8,0.24162162162162162,3.0059880239520957,9680.0,0.5036157024793388,-0.057753057448440816,0.13160566812581795,0.9081502079385781,0.0935977106457368,70582.0,0.8071604658411493
Longview,TX,2004,A1,2016-09-30,16313,0.0,5416,15826.0,18098,57102.0,57209.0,5710681.0,5834454.0,9283.0,5356.0,5976.0,0.0,75717.0,60872.0,10103.0,-45755.0,25220.0,8902.0,83880.0,89523.0,-5643.0,-4434.0,250146.0,6882.0,81747,126940.0,8,0.2771531645126265,3.0120014771048744,29654.0,-0.14952451608551967,0.06727467811158798,0.10612780162136386,0.926235825167896,0.10369402276509947,56971.0,1.0684734338523107
Longview,TX,2004,A1,2018-09-30,16683,0.0,5339,16439.0,19184,60225.0,59461.0,5755584.0,5892100.0,7710.0,5445.0,5898.0,0.0,63868.0,67506.0,8591.0,-63140.0,12957.0,9689.0,86971.0,88516.0,-1545.0,1243.0,268217.0,6242.0,81049,125884.0,8,0.27295973432959736,3.124742461135044,25220.0,0.0492862807295797,0.01776454220372308,0.11140495107564591,0.7880171254426335,0.08710289665145285,60872.0,1.108982783545801
Methuen,MA,2004,A1,2018-06-30,8212,0.0,15616,330.0,931,157956.0,160488.0,5329524.0,5329524.0,4115.0,2604.0,2604.0,6249.0,42588.0,130366.0,11519.0,-285946.0,-144061.0,74214.0,188420.0,199466.0,-11046.0,-8998.0,0.0,0.0,50341,211074.0,8,0.002089189394514928,0.5258709016393442,-183367.0,0.049070988782060024,0.05862434985670311,0.3938753847786859,0.8459903458413619,0.02063008231979385,118302.0,1.1019762979493162
Methuen,MA,2004,A1,2021-06-30,25656,0.0,14164,18235.0,19785,189513.0,181697.0,6444384.0,6444384.0,4643.0,3063.0,3063.0,250.0,43572.0,120486.0,5378.0,-314215.0,-188351.0,90263.0,212732.0,218098.0,-5366.0,-5126.0,0.0,0.0,53059,231091.0,8,0.0962203120630247,1.8113527252188648,-144061.0,0.035582149228451834,0.025224225786435517,0.42430381888949475,0.8211990425752465,0.02128859503525938,130366.0,0.924213368516331
